[1],0.000000,0.375652,0.304991,0.153819,0.078279,0.045940,0.017492,0.010097,0.006620,0.003443,0.003667,1.525254,0.722849,0.000000,0.345097,0.309405,0.170307,0.088962,0.043278,0.022463,0.010929,0.005732,0.002123,0.001703,1.534801,0.632260,0.000000,0.190729,0.300645,0.226224,0.126044,0.080472,0.039884,0.021298,0.007858,0.004558,0.002288,7.533354,1.637299,0.000000,0.303620,0.324814,0.194297,0.097508,0.040316,0.021220,0.008967,0.005681,0.001976,0.001600,14.252598,2.106238
[10],0.000000,0.181160,0.301250,0.228743,0.134697,0.074386,0.039239,0.022927,0.010980,0.003320,0.003298,22.014002,0.412691,0.000304,0.126501,0.274648,0.246936,0.157271,0.100661,0.054147,0.021814,0.011197,0.003792,0.002729,5.600216,0.326094,0.000000,0.169488,0.304403,0.238550,0.133124,0.071023,0.037406,0.023370,0.012519,0.006102,0.004014,165.948965,1.189433,0.000000,0.227309,0.291814,0.213464,0.135760,0.065106,0.031962,0.019603,0.010454,0.002527,0.002001,155.896627,1.895023
[100],0.000000,0.218076,0.292838,0.201187,0.128462,0.074764,0.049379,0.017522,0.009454,0.005743,0.002573,132.207410,1.102730,0.000000,0.224753,0.322791,0.222411,0.117003,0.063745,0.025351,0.012772,0.006084,0.002805,0.002283,117.759565,1.081036,0.000000,0.129023,0.264775,0.231160,0.152484,0.105744,0.058510,0.029865,0.014991,0.006136,0.007311,176.248322,2.237697,0.000000,0.143755,0.285504,0.240692,0.155802,0.083983,0.045992,0.022512,0.011947,0.006014,0.003798,174.309797,2.542006
[101],0.000000,0.224770,0.349596,0.207029,0.119121,0.052507,0.025558,0.012216,0.003662,0.003003,0.002537,65.875846,0.609793,0.000000,0.243350,0.370405,0.185007,0.109242,0.047916,0.018847,0.012495,0.006940,0.003404,0.002394,66.369810,0.779831,0.000000,0.146151,0.259855,0.226498,0.148482,0.095439,0.058739,0.033382,0.017652,0.007256,0.006546,157.601077,1.761061,0.000000,0.245796,0.349221,0.221645,0.114516,0.044225,0.015219,0.004295,0.001967,0.000931,0.002187,169.862774,3.337595
[102],0.000000,0.165818,0.272960,0.224734,0.148091,0.090664,0.050893,0.025774,0.013394,0.004692,0.002979,22.923378,1.225510,0.000000,0.167047,0.274821,0.220347,0.158489,0.091983,0.049643,0.024385,0.008930,0.003378,0.000977,28.432131,1.133203,0.000000,0.147761,0.294284,0.238677,0.151424,0.088197,0.039773,0.020943,0.012030,0.004269,0.002643,178.339362,3.305257,0.000000,0.132623,0.276009,0.239188,0.168620,0.096084,0.048696,0.023285,0.010253,0.003192,0.002047,174.173487,3.311009
[103],0.000000,0.160975,0.265803,0.226171,0.153277,0.088074,0.059614,0.024991,0.011991,0.005013,0.004091,20.762190,1.095454,0.000000,0.192295,0.310709,0.220149,0.125108,0.078985,0.035744,0.017845,0.012453,0.004398,0.002315,31.262584,0.996050,0.000312,0.193197,0.274663,0.221511,0.143006,0.087647,0.036281,0.026279,0.010708,0.003875,0.002521,159.004116,3.835479,0.000000,0.183079,0.282452,0.228641,0.138050,0.085786,0.039774,0.022751,0.010662,0.004361,0.004444,155.938654,4.185326
[104],0.000294,0.191150,0.339228,0.209959,0.118212,0.066106,0.035659,0.019869,0.011168,0.002887,0.005469,9.929779,0.939571,0.000000,0.457139,0.297416,0.125289,0.061904,0.028473,0.016188,0.005242,0.002255,0.003044,0.003050,43.138904,2.268323,0.000000,0.270123,0.324544,0.206918,0.098553,0.042082,0.019988,0.015601,0.019740,0.000814,0.001637,175.009426,2.996770,0.000000,0.231925,0.306303,0.226562,0.114971,0.065072,0.032519,0.010407,0.006070,0.004080,0.002090,150.623611,3.187134
[105],0.000000,0.117190,0.276922,0.238897,0.157471,0.088363,0.053575,0.038881,0.017006,0.008845,0.002850,15.785325,1.026889,0.000219,0.235222,0.328041,0.190282,0.106222,0.060800,0.037215,0.018339,0.011319,0.006775,0.005563,38.697628,1.572387,0.000000,0.194979,0.312599,0.238921,0.127642,0.062994,0.026935,0.019632,0.008221,0.005471,0.002606,161.967322,3.327039,0.000295,0.242588,0.334981,0.225357,0.099407,0.045764,0.025867,0.011994,0.008011,0.002586,0.003150,174.360129,3.858318
[106],0.000000,0.113833,0.258072,0.204577,0.126359,0.097816,0.078941,0.035801,0.046712,0.021243,0.016644,116.497692,0.906867,0.000000,0.234580,0.375959,0.209820,0.092337,0.046375,0.022936,0.009344,0.004349,0.001936,0.002362,17.771665,0.668431,0.000000,0.247008,0.348503,0.204745,0.102842,0.046091,0.023739,0.014054,0.006986,0.002380,0.003650,174.645335,3.840169,0.000000,0.189471,0.297579,0.231054,0.140652,0.077243,0.035573,0.011776,0.008318,0.004909,0.003425,143.660698,3.367466
[107],0.000000,0.244632,0.177089,0.159872,0.122968,0.074090,0.029627,0.179796,0.005620,0.003287,0.003019,51.892785,0.731765,0.000000,0.175663,0.330626,0.266230,0.119935,0.051523,0.032420,0.008984,0.005759,0.006188,0.002672,8.017494,0.994572,0.000262,0.153807,0.261636,0.251262,0.159943,0.092329,0.050091,0.019964,0.006905,0.001750,0.002052,148.085474,2.882422,0.000000,0.278777,0.356416,0.215604,0.088440,0.036694,0.013929,0.006662,0.000628,0.001401,0.001449,178.711938,4.733247
