[Mourad\155\Foam\Open\BDS01852.txt]
1200 samples
60 Markov chains

(1,1)(1,2)(1,2)(1,3)(1,3)(1,4)(1,4)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)
(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,3)(1,3)(1,2)(2,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(2,3)(4,5)(3,4)
(3,4)(2,4)(2,4)(1,3)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(2,4)(2,5)(2,3)(1,3)(1,2)(1,2)
(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,3)(1,2)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)
(1,3)(1,3)(1,3)(1,3)(1,2)(1,4)(1,5)(1,4)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(2,3)(1,3)(1,2)(1,2)
(1,2)(1,2)(1,1)(1,2)(1,3)(1,3)(1,2)(1,2)(2,3)(3,3)(3,3)(2,2)(1,2)(1,2)(1,2)(2,1)(1,2)(1,2)(1,1)(1,1)(2,2)
(2,2)(2,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,2)(1,2)(1,3)(1,4)(1,4)(1,3)(1,2)(1,2)(1,2)(1,1)(1,2)(1,3)(1,3)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,4)(1,3)(1,2)(1,2)(1,1)(1,2)(1,3)(2,3)(1,3)(2,3)(2,3)
(2,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,3)(1,5)(2,6)(3,6)(5,6)(5,5)(4,5)(3,4)(2,4)(2,4)(1,3)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(2,3)(2,3)(2,3)(2,3)(2,3)(2,3)(2,3)(1,2)(1,2)(1,1)(1,2)(1,2)(1,3)(1,4)
