Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	7.58915671131806	2.46471612532185	728.789904578911	-33.9089513653111	-8.91637172470687	-0.547052438179678	-0.16397939213025	-0.0120350264607634	-0.0322607967717727
0.02	7.64211215011487	2.3566046651778	725.024717142609	-33.3263237792801	-8.98089809108024	-0.514703449584396	-0.13453197793763	-0.0121900918858721	-0.0328348790837861
0.03	7.69541048909279	2.24701124457897	721.229535283812	-32.7439871300501	-9.04423569974585	-0.482658732972231	-0.105467510650848	-0.0123448370646593	-0.0334064072661592
0.04	7.74830404208883	2.13900686605566	717.444470125638	-32.1716334404065	-9.10452470832729	-0.451354723735806	-0.0771389239384967	-0.0124960304688432	-0.033964322517322
0.05	7.79994010070159	2.03627689013533	713.714019982527	-31.619586692116	-9.1598902203614	-0.421225177957132	-0.0498816764185414	-0.0126402691664044	-0.0344969656222067
0.06	7.84936598818972	1.94306684111718	710.087045421247	-31.0986182391375	-9.20850376876671	-0.392690589685816	-0.0240051252664251	-0.0127740552665595	-0.0349923365564223
0.07	7.89554292682802	1.86407700297876	706.616366284472	-30.6197122621029	-9.24864207048217	-0.366146327287982	0.000215953814209809	-0.0128938820852676	-0.035438400972043
0.08	7.93736934136527	1.80430515734124	703.357921051374	-30.1937821189832	-9.27874050925316	-0.341949766995798	0.0225493142395961	-0.0129963293148802	-0.0358234386881489
0.09	7.97371330265691	1.76884157201568	700.369467673266	-29.8313435234317	-9.29743913101253	-0.320406946459878	0.0428121918833763	-0.0130781655894609	-0.0361364244344775
0.1	8.00345288015535	1.76262500444665	697.708846381157	-29.5421554464298	-9.30361936262926	-0.30175945684098	0.0608768143152136	-0.0131364556556372	-0.0363674264530539
0.11	8.02552231536343	1.79017259759526	695.431865329012	-29.3348439934834	-9.29643016675427	-0.286172412660855	0.0766741162681072	-0.0131686679890686	-0.0365080046556665
0.12	8.03896123421064	1.85529975167267	693.589906215541	-29.2165278661622	-9.27530289518578	-0.273724371449349	0.090195477486447	-0.0131727773177524	-0.0365515872872914
0.13	8.04296364989302	1.96084808392574	692.227376686637	-29.1924660924595	-9.23995467022032	-0.264400019691829	0.101492492132881	-0.0131473553752323	-0.0364938037812893
0.14	8.03692331157899	2.10844027685818	691.379157442871	-29.2657493399034	-9.19038067726392	-0.258086307619742	0.110674953669163	-0.0130916425974324	-0.036332751917498
0.15	8.02047204600609	2.298279909108	691.068203286863	-29.4370552566892	-9.126836263859	-0.254572520648232	0.117907354196082	-0.01300559366502	-0.0360691795762241
0.16	7.99350811055546	2.52901231501356	691.303458217682	-29.704485974039	-9.0498101852117	-0.253554541989067	0.123404226032817	-0.012889890955313	-0.0357065652305698
0.17	7.95621219644622	2.79765927671011	692.078235119566	-30.0635022974136	-8.95999069419251	-0.254643312737754	0.127424591555765	-0.0127459221194542	-0.0352510865865197
0.18	7.90904953752378	3.09963614442282	693.369191202449	-30.506964444987	-8.85822643024807	-0.257377254490841	0.130265655193695	-0.012575720957027	-0.0347114730684565
0.19	7.85275752646023	3.4288550948992	695.136002273665	-31.0252837507849	-8.74548420832841	-0.261238203219317	0.132255709311793	-0.0123818741452213	-0.0340987446527335
0.2	7.78831923902119	3.77791300170936	697.32180376096	-31.6066838708417	-8.62280584335551	-0.265670224129011	0.133746083893761	-0.0121673996897301	-0.0334258463192766
0.21	7.71692423808086	4.13835714762509	699.854426147882	-32.2375640683348	-8.49126607109923	-0.270100542022094	0.135101895734047	-0.0119356056760384	-0.0327071935854429
0.22	7.63991889543798	4.50101709594197	702.648409375354	-32.9029514625541	-8.35193345087764	-0.273961731205839	0.136691377986416	-0.011689939587787	-0.0319581497549287
0.23	7.55874916425512	4.85638676605945	705.607737214396	-33.587024041325	-8.20583587213711	-0.276714260068652	0.138873703303659	-0.0114338388931491	-0.0311944593330135
0.24	7.47489920669517	5.19503739697292	708.629191065358	-34.2736820533629	-8.05393195254138	-0.277868472442694	0.141985435855273	-0.0111705927882116	-0.0304316643498648
0.25	7.38982949838964	5.50803984043616	711.606185440049	-34.9471423582267	-7.89708922985302	-0.277005104640816	0.146326020913721	-0.0109032231546689	-0.0296845310558745
0.26	7.30491798419537	5.78737364380067	714.432916676335	-35.592528592809	-7.73606963623738	-0.27379347851055	0.152142995842367	-0.0106343903127231	-0.0289665136773464
0.27	7.2214075611087	6.02630072430764	717.008634038629	-36.1964297152226	-7.57152232571282	-0.268006574056907	0.15961783334435	-0.0103663264569662	-0.0282892797934728
0.28	7.14036264750142	6.21968308491466	719.241829667272	-36.7474006303721	-7.40398352753994	-0.259532269742556	0.168853466399725	-0.0101007971429672	-0.0276623186075586
0.29	7.0626369128926	6.36422688036129	721.054141745038	-37.2363811274309	-7.23388274328434	-0.248380146249433	0.179864570031218	-0.00983908913220899	-0.0270926491517956
0.3	6.98885345029794	6.45863904145456	722.383774075886	-37.6570131332315	-7.06155431306069	-0.234683383261812	0.192571581802967	-0.00958202145843953	-0.0265846405138048
0.31	6.91939783968119	6.50368737279559	723.188254751987	-38.0058411052749	-6.88725316249593	-0.218695441530747	0.20679924165512	-0.00932997577806134	-0.0261399507430573
0.32	6.85442374049933	6.50216027324547	723.446385860638	-38.2823859964667	-6.7111734158166	-0.20078141527318	0.222280146245662	-0.00908294183944987	-0.0257575854342635
0.33	6.7938699208735	6.45872767770738	723.159273837742	-38.4890893232451	-6.53346852503457	-0.181404161025536	0.23866347518762	-0.00884057411570861	-0.0254340713485106
0.34	6.73748702602176	6.37971016119742	722.350374207213	-38.6311301385777	-6.35427161640651	-0.161105552670235	0.255528690744512	-0.00860225612840227	-0.0251637350786091
0.35	6.68487194049943	6.27276806981029	721.064532766998	-38.7161238250296	-6.17371488263525	-0.140483468464155	0.272403670971143	-0.00836716958228237	-0.0249390719418741
0.36	6.63550732361895	6.14652676609351	719.366055240625	-38.7537172667661	-5.99194703680571	-0.120165370507897	0.288786435932044	-0.0081343659893211	-0.0247511862200696
0.37	6.58880379680468	6.01015736370645	717.335886336497	-38.7550998479225	-5.80914807230287	-0.100779573108352	0.304169387246277	-0.00790283887483004	-0.0245902807579412
0.38	6.54414232457046	5.87293450395862	715.068024404678	-38.7324536167468	-5.62554082081256	-0.0829254951601118	0.318064814720642	-0.00767159486248768	-0.0244461719294672
0.39	6.50091453618391	5.74379369059696	712.665336994706	-38.6983686640299	-5.4413990472712	-0.0671443344092816	0.33003033479189	-0.00743972191158762	-0.0243088051818683
0.4	6.4585590546116	5.63091041875071	710.234973463912	-38.6652511681098	-5.25705204795887	-0.0538916717818659	0.339692912277864	-0.00720645276445426	-0.024168746808861
0.41	6.41659230052825	5.54132185231397	707.883591677489	-38.6447516033757	-5.07288591128248	-0.0435134993813066	0.346770173425277	-0.00697122134174539	-0.0240176292605182
0.42	6.37463268816059	5.48060923254129	705.712625636548	-38.6472393109399	-4.88934175038132	-0.0362270594256219	0.351087835759711	-0.00673370952680125	-0.0238485300766445
0.43	6.33241759384117	5.45265570974488	703.813819035249	-38.6813470730166	-4.70691131778117	-0.0321076831919581	0.352592249448102	-0.00649388165678013	-0.0236562682796967
0.44	6.28981292798652	5.4594900972924	702.265236385907	-38.7536056628028	-4.52613046505781	-0.0310825361218846	0.351357257338908	-0.0062520042270967	-0.0234376065692881
0.45	6.24681555230882	5.50122240296338	701.127939192888	-38.8681837593157	-4.34757091913941	-0.0329318218852293	0.347584829892288	-0.00600864890786867	-0.0231913526613593
0.46	6.203549137843	5.57607216472994	700.443481014206	-39.0267433644157	-4.17183081896241	-0.0372975949600194	0.341599211812076	-0.0057646779761145	-0.0229183583156002
0.47	6.16025434346588	5.68048587527547	700.232333938543	-39.2284152096038	-3.99952440122866	-0.043699903559874	0.333834624598935	-0.00552121259467819	-0.0226214196868467
0.48	6.11727440248861	5.80933537757721	700.493312234857	-39.4698928809885	-3.83127115245106	-0.051559560822437	0.324816896782244	-0.00527958583496817	-0.0223050873255444
0.49	6.07503733498582	5.9561852810281	701.204009180844	-39.7456388104566	-3.6676846667201	-0.0602264509655336	0.315139730207006	-0.00504128370555594	-0.0219753981840375
0.5	6.03403605770532	6.11361437356474	702.322212955616	-40.0481901535961	-3.5093613742365	-0.0690119457124607	0.305436639368699	-0.00480787847250158	-0.0216395451652043
0.51	5.99480764582829	6.27357383208239	703.788219591005	-40.3685481461438	-3.35686924281773	-0.0772237576522451	0.296349898328641	-0.00458095906084495	-0.0213055019568448
0.52	5.95791291691406	6.42776384893636	705.527917768874	-40.696631005874	-3.21073650975363	-0.0842014082231695	0.28849806931959	-0.00436206323691667	-0.0209816220828812
0.53	5.92391736329805	6.56801012676122	707.456483910705	-41.0217679804024	-3.0714404790573	-0.0893504481087413	0.282443842087409	-0.00415261563565545	-0.0206762312911489
0.54	5.89337426232097	6.68662251904331	709.482498332703	-41.3332108297183	-2.93939642168412	-0.0921736382976431	0.278663961695589	-0.00395387466541198	-0.0203972316603027
0.55	5.86681055310105	6.77671982569314	711.512275568593	-41.6206389095204	-2.81494664369352	-0.0922974741418581	0.277522952763163	-0.0037668901017796	-0.0201517342558586
0.56	5.84471579574776	6.83250725654222	713.454195094896	-41.8746350587842	-2.69834983711779	-0.0894926985495536	0.279252159864519	-0.00359247198322486	-0.0199457349334539
0.57	5.82753423876388	6.84949617450321	715.222822860719	-42.0871116036119	-2.58977089540949	-0.0836877844118281	0.283935329585955	-0.00343117041508185	-0.0197838451283407
0.58	5.81565973098752	6.82465921687094	716.742628875792	-42.2516688266395	-2.48927145222792	-0.0749747472159219	0.291501582714146	-0.00328326517754514	-0.0196690863470933
0.59	5.80943294658031	6.75651754409734	717.951130733328	-42.3638720299282	-2.39680147939998	-0.0636070517243161	0.301726195686597	-0.00314876364767498	-0.0196027537602997
0.6	5.80914016748266	6.64516055525922	718.801325909287	-42.4214376192159	-2.3121923462331	-0.0499897773465597	0.314239162285953	-0.00302740545473428	-0.0195843509550042
0.61	5.81501270918538	6.49220172748525	719.26331511737	-42.4243232188908	-2.2351517867868	-0.0346625835291904	0.328541072139945	-0.00291867242334512	-0.0196115947091298
0.62	5.82722600165805	6.30067710042191	719.325062700543	-42.3747214447229	-2.16526123405919	-0.0182763509835734	0.344025450179323	-0.00282180263533766	-0.0196804857497472
0.63	5.8458973618432	6.07489519418626	718.992285578431	-42.2769613783184	-2.10197595252878	-0.00156465315902898	0.36000637273229	-0.00273580777727047	-0.0197854389829011
0.64	5.87108162412258	5.82024872629284	718.287507137518	-42.1373257879104	-2.04462832894312	0.0146885740543954	0.375749926067159	-0.00265949326974518	-0.0199194647336781
0.65	5.90276402864542	5.54299933823729	717.248354201895	-41.9637955416493	-1.99243456602866	0.029683652691036	0.390507909516063	-0.00259148094943397	-0.0200743911726498
0.66	5.94085009271753	5.25004666649224	715.925211614227	-41.7657353207876	-1.9445048702353	0.0426404888380982	0.403552109246858	-0.00253023426613959	-0.0202411173489508
0.67	5.98515258612312	4.94869255460854	714.378378081524	-41.5535365676059	-1.89985704282211	0.0528330171950355	0.414207476940017	-0.00247408605053761	-0.0204098860799312
0.68	6.03537616687334	4.64641010299871	712.674887336322	-41.3382345539589	-1.85743318762616	0.0596212396853496	0.421882633415374	-0.00242126889872278	-0.0205705663032554
0.69	6.09110067184443	4.35062572235028	710.885169399628	-41.1311165390348	-1.81611905549341	0.0624794576258798	0.42609627201561	-0.0023699481094047	-0.0207129352884407
0.7	6.15176445497465	4.0685205472136	709.079727460126	-40.9433372550462	-1.77476537233002	0.0610194756327759	0.426498250682555	-0.00231825690711768	-0.020826952217294
0.71	6.21664948098152	3.80685563796362	707.325996858208	-40.785556514566	-1.73221036192053	0.0550077818375242	0.422884425108312	-0.0022643334070922	-0.0209030159509596
0.72	6.28487007481085	3.57182350779361	705.685534716798	-40.6676117039976	-1.68730259024606	0.0443759750709655	0.415204577695869	-0.00220635845300626	-0.0209322011801591
0.73	6.35536726346079	3.36892679678673	704.211663249977	-40.5982354685985	-1.63892323499161	0.0292240063157041	0.403563127276848	-0.00214259312992303	-0.0209064684918841
0.74	6.42691050619533	3.20288349174165	702.947658491524	-40.584826172358	-1.58600692687317	0.00981611851839526	0.388212650464528	-0.00207141447603081	-0.0208188450903614
0.75	6.49810828525476	3.07755703863205	701.925541215849	-40.6332758987347	-1.52756041698276	-0.0134303060047349	0.369540593512638	-0.00199134774934505	-0.0206635739232236
0.76	6.56742853308152	2.99590905521879	701.165490439515	-40.747858004011	-1.46267848913259	-0.0399624609940193	0.348049888283761	-0.00190109360562836	-0.0204362297604934
0.77	6.63322923281231	2.95997212354739	700.675864375923	-40.9311736828317	-1.39055674518735	-0.0691155636393732	0.324334490694402	-0.00179954874934708	-0.0201338013629868
0.78	6.69379879188942	2.97084028461924	700.453781215933	-41.1841547676068	-1.3105011270362	-0.100140935678722	0.299051117467963	-0.0016858190374668	-0.0197547392956277
0.79	6.7474050128416	3.02867529381241	700.486184492959	-41.506118140111	-1.22193428048388	-0.132237401085582	0.272888650476814	-0.00155922461503455	-0.0192989692481543
0.8	6.7923507374072	3.13272732199145	700.751296532919	-41.8948657305726	-1.12439909196003	-0.164584526363375	0.24653679284145	-0.00141929737346865	-0.0187678709895008
0.81	6.82703358885547	3.28136948395439	701.220349569427	-42.3468231282949	-1.01755991734675	-0.196376145674856	0.220655586566167	-0.00126577175194216	-0.0181642233716667
0.82	6.85000674623648	3.47214621970931	701.859477962492	-42.8572093084995	-0.901202155041588	-0.226852609875046	0.195847332504666	-0.00109857054372636	-0.017492116173946
0.83	6.8600374053517	3.70183603139347	702.631656481251	-43.4202298463574	-0.775230878955174	-0.25533027894829	0.172632291140624	-0.000917787826672393	-0.0167568300824854
0.84	6.85615954910914	3.96652929751008	703.49857816031	-44.029286175307	-0.639669234002344	-0.281226938974941	0.151429295563541	-0.000723671340490376	-0.0159646867555664
0.85	6.83771787762396	4.26172178648608	704.422379722921	-44.6771938752551	-0.494657206311036	-0.304082059457844	0.132542091833838	-0.000516606551290498	-0.0151228717302919
0.86	6.80440022509454	4.58242405216435	705.3671415362	-45.3564035662044	-0.340451219561164	-0.323571100979754	0.116151858689671	-0.000297104285445429	-0.0142392338557575
0.87	6.75625648148423	4.92328613561401	706.300110849134	-46.0592186576767	-0.177424790964384	-0.339513418330308	0.102315974900659	-6.57932271015853e-05	-0.0133220659427729
0.88	6.69370288647384	5.27873598232173	707.19261989898	-46.7780048985458	-0.00607022436602378	-0.351873658575768	0.0909727274143284	0.000176582168517457	-0.0123798723327168
0.89	6.61751149876327	5.64312880844112	708.020692642543	-47.5053873361706	0.172998953234174	-0.360756903486118	0.081951315099148	0.000429158599920211	-0.0114211300258756
0.9	6.52878558382398	6.01090343699073	708.765353845249	-48.2344308975332	0.35904536662758	-0.366398128008374	0.0749862262469875	0.000690946712451363	-0.0104540507831199
0.91	6.42892252453565	6.37674051019831	709.412670806264	-48.9588013372928	0.551205759475881	-0.369146820086152	0.0697348719483642	0.000960821450867008	-0.00948635213578999
