BDS00181;16;Foam;Open
BDS00182;16;Foam;Open
BDS00183;16;Foam;Open
BDS00184;16;Foam;Closed
BDS00185;16;Foam;Closed
BDS00186;16;Foam;Closed
BDS00187;16;Firm;Closed
BDS00188;16;Firm;Closed
BDS00189;16;Firm;Closed
BDS00190;16;Firm;Open
BDS00191;16;Firm;Open
BDS00192;16;Firm;Open
BDS00193;17;Foam;Closed
BDS00194;17;Foam;Closed
BDS00195;17;Foam;Closed
BDS00196;17;Firm;Closed
BDS00197;17;Firm;Closed
BDS00198;17;Firm;Closed
BDS00199;17;Foam;Open
BDS00200;17;Foam;Open
BDS00201;17;Foam;Open
BDS00202;17;Firm;Open
BDS00203;17;Firm;Open
BDS00204;17;Firm;Open
BDS00205;18;Foam;Closed
BDS00206;18;Foam;Closed
BDS00207;18;Foam;Closed
BDS00208;18;Foam;Open
BDS00209;18;Foam;Open
BDS00210;18;Foam;Open
BDS00211;18;Firm;Open
BDS00212;18;Firm;Open
BDS00213;18;Firm;Open
BDS00214;18;Firm;Closed
BDS00215;18;Firm;Closed
BDS00216;18;Firm;Closed
BDS00217;19;Firm;Closed
BDS00218;19;Firm;Closed
BDS00219;19;Firm;Closed
BDS00220;19;Foam;Closed
BDS00221;19;Foam;Closed
BDS00222;19;Foam;Closed
BDS00223;19;Firm;Open
BDS00224;19;Firm;Open
BDS00225;19;Firm;Open
BDS00226;19;Foam;Open
BDS00227;19;Foam;Open
BDS00228;19;Foam;Open
BDS00229;20;Firm;Open
BDS00230;20;Firm;Open
BDS00231;20;Firm;Open
BDS00232;20;Foam;Closed
BDS00233;20;Foam;Closed
BDS00234;20;Foam;Closed
BDS00235;20;Foam;Open
BDS00236;20;Foam;Open
BDS00237;20;Foam;Open
BDS00238;20;Firm;Closed
BDS00239;20;Firm;Closed
BDS00240;20;Firm;Closed
BDS00241;21;Foam;Closed
BDS00242;21;Foam;Closed
BDS00243;21;Foam;Closed
BDS00244;21;Firm;Closed
BDS00245;21;Firm;Closed
BDS00246;21;Firm;Closed
BDS00247;21;Foam;Open
BDS00248;21;Foam;Open
BDS00249;21;Foam;Open
BDS00250;21;Firm;Open
BDS00251;21;Firm;Open
BDS00252;21;Firm;Open
BDS00253;22;Foam;Open
BDS00254;22;Foam;Open
BDS00255;22;Foam;Open
BDS00256;22;Firm;Closed
BDS00257;22;Firm;Closed
BDS00258;22;Firm;Closed
BDS00259;22;Foam;Closed
BDS00260;22;Foam;Closed
BDS00261;22;Foam;Closed
BDS00262;22;Firm;Open
BDS00263;22;Firm;Open
BDS00264;22;Firm;Open
BDS00265;23;Foam;Open
BDS00266;23;Foam;Open
BDS00267;23;Foam;Open
BDS00268;23;Firm;Closed
BDS00269;23;Firm;Closed
